16
0.340 	2.630 	-0.729 	77	-46	161	20.32313683	20.32313683	25.27772224	-0.530501317
0.427 	2.450 	-1.173 	131	-40	156	19.65382406	19.65382406	24.4824859	-0.511555867
-0.163 	2.584 	-0.926 	-178	-41	180	19.65382406	19.65382406	24.4824859	-0.511555867
-0.427 	2.450 	-1.173 	-131	-40	-156	19.65382406	19.65382406	24.4824859	-0.511555867
-0.340 	2.630 	-0.729 	-77	-46	-161	20.32313683	20.32313683	25.27772224	-0.530501317
0.822 	1.945 	-1.762 	85	-18	148	23.49856568	23.49856568	29.00169942	-0.622755687
0.338 	1.945 	-1.915 	135	-13	155	21.03751103	21.03751103	26.12262152	-0.550903979
0.000 	2.253 	-1.577 	180	-14	180	21.03751103	21.03751103	26.12262152	-0.550903979
-0.338 	1.945 	-1.915 	-135	-13	-155	21.03751103	21.03751103	26.12262152	-0.550903979
-0.822 	1.945 	-1.762 	-85	-18	-148	23.49856568	23.49856568	29.00169942	-0.622755687
0.414 	1.375 	-2.345 	144	-12	-29	23.49856568	23.49856568	29.00169942	-0.622755687
0.000 	1.375 	-2.382 	180	-12	0	21.80140949	21.80140949	27.02158159	-0.572938698
-0.414 	1.375 	-2.345 	-144	-12	29	23.49856568	23.49856568	29.00169942	-0.622755687
0.665 	-1.945 	1.827 	8	50	-83	19.65382406	19.65382406	24.4824859	-0.511555867
0.000 	-1.945 	1.945 	0	59	0	21.80140949	21.80140949	27.02158159	-0.572938698
-0.665 	-1.945 	1.827 	-8	50	83	19.65382406	19.65382406	24.4824859	-0.511555867
